nthreads CpuThread CpuProcess IoThread IoProcess
1.000000e+00 3.068447e-04 1.093292e-02 1.003429e+00 1.004353e+00
2.000000e+00 5.099773e-04 5.289078e-03 1.000790e+00 1.005644e+00
3.000000e+00 1.111031e-03 6.750822e-03 1.003888e+00 1.008313e+00
4.000000e+00 1.396894e-03 7.734060e-03 1.006068e+00 1.010428e+00
5.000000e+00 1.464128e-03 8.924007e-03 1.006051e+00 1.010907e+00
6.000000e+00 1.549244e-03 9.845972e-03 1.005220e+00 1.013224e+00
7.000000e+00 1.240015e-03 1.246214e-02 1.001538e+00 1.012119e+00
